Reference, Quantity, Value, Footprint, Datasheet, Footprint, Datasheet, Description, Sim.Device, Sim.Pins
C1 C2 ,2,"0.1u","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","","","",""
C3 ,1,"1u","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","","","",""
D1 D2 ,2,"bat46","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","","","",""
D3 D4 D5 ,3,"1n4148","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","","","D","1=K 2=A"
J1 ,1,"mono_jack_3.5mm","lib_fp:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","","lib_fp:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","","","",""
J2 ,1,"jst_xa_3","Connector_JST:JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical","","Connector_JST:JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical","","","",""
R1 R2 R3 R4 R5 R15 ,6,"1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","","",""
R11 R12 ,2,"20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","","",""
R13 ,1,"2.4k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","","",""
R6 R7 ,2,"100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","","",""
R8 R9 R10 R14 ,4,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","","",""
RV1 ,1,"1k_pot_d","lib_fp:Potentiometer_Vertical_Large","","lib_fp:Potentiometer_Vertical_Large","","","",""
RV2 ,1,"5k_pot","lib_fp:Potentiometer_Vertical_Large","","lib_fp:Potentiometer_Vertical_Large","","","",""
RV3 ,1,"100k_pot","lib_fp:Potentiometer_Vertical_Large","","lib_fp:Potentiometer_Vertical_Large","","","",""
SW1 ,1,"SW_DPDT_x2","lib_fp:dpdt_mini_toggle_switch_tayda","","lib_fp:dpdt_mini_toggle_switch_tayda","","","",""
U1 ,1,"TLV2372","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/tlv2375.pdf","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/tlv2375.pdf","","",""
U2 ,1,"LM317","Package_TO_SOT_THT:TO-92_HandSolder","http://www.ti.com/lit/ds/snvs775k/snvs775k.pdf","Package_TO_SOT_THT:TO-92_HandSolder","http://www.ti.com/lit/ds/snvs775k/snvs775k.pdf","","",""
U3 ,1,"TLV2374","Package_DIP:DIP-14_W7.62mm_LongPads","","Package_DIP:DIP-14_W7.62mm_LongPads","","","",""
